Entity,Code,Year,variable,value
United States,USA,1990,Greenhouse gas emissions from agriculture,356320000.0
United States,USA,1991,Greenhouse gas emissions from agriculture,357429980.0
United States,USA,1992,Greenhouse gas emissions from agriculture,364950000.0
United States,USA,1993,Greenhouse gas emissions from agriculture,366090000.0
United States,USA,1994,Greenhouse gas emissions from agriculture,376020000.0
United States,USA,1995,Greenhouse gas emissions from agriculture,374320000.0
United States,USA,1996,Greenhouse gas emissions from agriculture,378860000.0
United States,USA,1997,Greenhouse gas emissions from agriculture,377520000.0
United States,USA,1998,Greenhouse gas emissions from agriculture,375820000.0
United States,USA,1999,Greenhouse gas emissions from agriculture,373260000.0
United States,USA,2000,Greenhouse gas emissions from agriculture,367580000.0
United States,USA,2001,Greenhouse gas emissions from agriculture,365560000.0
United States,USA,2002,Greenhouse gas emissions from agriculture,364980000.0
United States,USA,2003,Greenhouse gas emissions from agriculture,371580000.0
United States,USA,2004,Greenhouse gas emissions from agriculture,370050000.0
United States,USA,2005,Greenhouse gas emissions from agriculture,369670000.0
United States,USA,2006,Greenhouse gas emissions from agriculture,376120000.0
United States,USA,2007,Greenhouse gas emissions from agriculture,376380000.0
United States,USA,2008,Greenhouse gas emissions from agriculture,371900000.0
United States,USA,2009,Greenhouse gas emissions from agriculture,373120000.0
United States,USA,2010,Greenhouse gas emissions from agriculture,375540000.0
United States,USA,2011,Greenhouse gas emissions from agriculture,374640000.0
United States,USA,2012,Greenhouse gas emissions from agriculture,370460000.0
United States,USA,2013,Greenhouse gas emissions from agriculture,368610000.0
United States,USA,2014,Greenhouse gas emissions from agriculture,368090000.0
United States,USA,2015,Greenhouse gas emissions from agriculture,368770000.0
United States,USA,2016,Greenhouse gas emissions from agriculture,379460000.0
United States,USA,2017,Greenhouse gas emissions from agriculture,378280000.0
United States,USA,2018,Greenhouse gas emissions from agriculture,382549980.0
United States,USA,2019,Greenhouse gas emissions from agriculture,380180000.0
United States,USA,2020,Greenhouse gas emissions from agriculture,382010020.0
United States,USA,1990,Greenhouse gas emissions from land use change and forestry,-406800000.0
United States,USA,1991,Greenhouse gas emissions from land use change and forestry,-406800000.0
United States,USA,1992,Greenhouse gas emissions from land use change and forestry,-406800000.0
United States,USA,1993,Greenhouse gas emissions from land use change and forestry,-406940000.0
United States,USA,1994,Greenhouse gas emissions from land use change and forestry,-407090000.0
United States,USA,1995,Greenhouse gas emissions from land use change and forestry,-406869980.0
United States,USA,1996,Greenhouse gas emissions from land use change and forestry,-405709980.0
United States,USA,1997,Greenhouse gas emissions from land use change and forestry,-407420000.0
United States,USA,1998,Greenhouse gas emissions from land use change and forestry,-405840000.0
United States,USA,1999,Greenhouse gas emissions from land use change and forestry,-405290020.0
United States,USA,2000,Greenhouse gas emissions from land use change and forestry,-405090000.0
United States,USA,2001,Greenhouse gas emissions from land use change and forestry,-391029980.0
United States,USA,2002,Greenhouse gas emissions from land use change and forestry,-390080000.0
United States,USA,2003,Greenhouse gas emissions from land use change and forestry,-390330000.0
United States,USA,2004,Greenhouse gas emissions from land use change and forestry,-390400000.0
United States,USA,2005,Greenhouse gas emissions from land use change and forestry,-390730020.0
United States,USA,2006,Greenhouse gas emissions from land use change and forestry,-390610000.0
United States,USA,2007,Greenhouse gas emissions from land use change and forestry,-390200000.0
United States,USA,2008,Greenhouse gas emissions from land use change and forestry,-389750000.0
United States,USA,2009,Greenhouse gas emissions from land use change and forestry,-390760000.0
United States,USA,2010,Greenhouse gas emissions from land use change and forestry,-390940000.0
United States,USA,2011,Greenhouse gas emissions from land use change and forestry,-407570020.0
United States,USA,2012,Greenhouse gas emissions from land use change and forestry,-407780000.0
United States,USA,2013,Greenhouse gas emissions from land use change and forestry,-407780000.0
United States,USA,2014,Greenhouse gas emissions from land use change and forestry,-407790000.0
United States,USA,2015,Greenhouse gas emissions from land use change and forestry,-406930000.0
United States,USA,2016,Greenhouse gas emissions from land use change and forestry,-220240000.0
United States,USA,2017,Greenhouse gas emissions from land use change and forestry,-219050000.0
United States,USA,2018,Greenhouse gas emissions from land use change and forestry,-219130000.0
United States,USA,2019,Greenhouse gas emissions from land use change and forestry,-220260000.0
United States,USA,2020,Greenhouse gas emissions from land use change and forestry,-216050000.0
United States,USA,1990,Greenhouse gas emissions from waste,199340000.0
United States,USA,1991,Greenhouse gas emissions from waste,201900000.0
United States,USA,1992,Greenhouse gas emissions from waste,202080000.0
