Entity,Code,Year,Greenhouse gas emissions from agriculture,Greenhouse gas emissions from land use change and forestry,Greenhouse gas emissions from waste,Greenhouse gas emissions from buildings,Greenhouse gas emissions from industry,Greenhouse gas emissions from manufacturing and construction,Greenhouse gas emissions from transport,Greenhouse gas emissions from electricity and heat,Fugitive emissions of greenhouse gases from energy production,Greenhouse gas emissions from other fuel combustion,Greenhouse gas emissions from bunker fuels
Vietnam,VNM,1990,46000000.0,-72690000.0,2460000.0,5270000.0,1160000.0,5920000.0,4260000.0,4900000.0,2550000.0,730000.0,90000.0
Vietnam,VNM,1991,48460000.0,-72690000.0,2540000.0,5970000.0,1400000.0,6520000.0,4030000.2,3650000.0,3810000.0,720000.0,100000.0
Vietnam,VNM,1992,49440000.0,-72690000.0,2630000.0,6170000.0,1860000.0,7050000.0,4520000.0,3060000.0,4170000.0,800000.0,110000.0
Vietnam,VNM,1993,50680000.0,-72690000.0,2710000.0,6810000.0,1950000.0,7500000.0,7060000.0,2800000.0,4370000.0,1110000.0,150000.0
Vietnam,VNM,1994,53290000.0,-72690000.0,2790000.0,7010000.0,2190000.0,7660000.0,7780000.0,3740000.0,4230000.0,1180000.0,160000.0
Vietnam,VNM,1995,54210000.0,-72670000.0,3860000.0,7640000.0,2690000.0,10740000.0,7440000.0,4510000.0,5220000.0,1100000.0,350000.0
Vietnam,VNM,1996,56920000.0,-72950000.0,4930000.0,8570000.0,3100000.0,11300000.0,8180000.5,5650000.0,5550000.0,1190000.0,360000.0
Vietnam,VNM,1997,57250000.0,-73190000.0,6000000.0,8720000.0,3790000.0,13510000.0,8940000.0,8160000.0,5590000.0,1230000.0,300000.0
Vietnam,VNM,1998,60500000.0,-71690000.0,7070000.0,9340000.0,4610000.0,14040000.0,9400000.0,10520000.0,6500000.0,1220000.0,420000.0
Vietnam,VNM,1999,62590000.0,-72580000.0,8140000.5,9680000.0,5000000.0,14090000.0,10050000.0,9670000.0,7760000.0,1180000.0,620000.0
Vietnam,VNM,2000,63760000.0,-72590000.0,9210000.0,10440000.0,6260000.0,14780000.0,10820000.0,11530000.0,7740000.0,1150000.0,770000.0
Vietnam,VNM,2001,61190000.0,17210000.0,10070000.0,11490000.0,7280000.0,16800000.0,11560000.0,12410000.0,8279999.5,1150000.0,960000.0
Vietnam,VNM,2002,62500000.0,20590000.0,10930000.0,12110000.0,9050000.0,18700000.0,14180000.0,15630000.0,8330000.0,1300000.0,1090000.0
Vietnam,VNM,2003,64239996.0,18080000.0,11780000.0,12070000.0,10220000.0,19990000.0,16020000.0,15840000.0,8950000.0,1390000.0,1190000.0
Vietnam,VNM,2004,65839996.0,18640000.0,12640000.0,13700000.0,11230000.0,23170000.0,19610000.0,20590000.0,11310000.0,1580000.0,1650000.0
Vietnam,VNM,2005,65559996.0,18660000.0,13500000.0,14150000.0,12980000.0,24440000.0,19820000.0,24360000.0,12310000.0,1660000.0,1650000.0
Vietnam,VNM,2006,66269996.0,17560000.0,14350000.0,14030000.0,13450000.0,24540000.0,19800000.0,26760000.0,12710000.0,1640000.0,1720000.0
Vietnam,VNM,2007,67570000.0,18560000.0,15210000.0,14230000.0,15440000.0,27260000.0,23180000.0,29010000.0,12970000.0,1650000.0,1800000.0
Vietnam,VNM,2008,64989996.0,17400000.0,16059999.0,14290000.0,16930000.0,35800000.0,24680000.0,30270000.0,12420000.0,1660000.0,1970000.0
Vietnam,VNM,2009,70150000.0,17580000.0,16920000.0,14470000.0,21000000.0,39410000.0,29620000.0,32460000.0,13650000.0,1680000.0,2120000.0
Vietnam,VNM,2010,67740000.0,18260000.0,17780000.0,15340000.0,25720000.0,42040000.0,31820000.0,41630000.0,13530000.0,1660000.0,2550000.0
Vietnam,VNM,2011,66480004.0,-23130000.0,18250000.0,15060000.0,30560000.0,43820000.0,31260000.0,40410000.0,14330000.0,1650000.0,2030000.0
Vietnam,VNM,2012,67510000.0,-23000000.0,18730000.0,14270000.0,30840000.0,43240000.0,30800000.0,41610000.0,14820000.0,1520000.0,2089999.9
Vietnam,VNM,2013,70520000.0,-21100000.0,19200000.0,15210000.0,33430000.0,46520000.0,30030000.0,44610000.0,15070000.0,1460000.0,2280000.0
Vietnam,VNM,2014,68920000.0,-22300000.0,19450000.0,14920000.0,36190000.0,51710000.0,30700000.0,53200000.0,14960000.0,1410000.0,2260000.0
Vietnam,VNM,2015,71710000.0,-23100000.0,19700000.0,11340000.0,38180000.0,33770000.0,33990000.0,84370000.0,15330000.0,5530000.0,2770000.0
Vietnam,VNM,2016,70770000.0,-12410000.0,19930000.0,10130000.0,41690000.0,35480000.0,37680000.0,97880000.0,14020000.0,6040000.0,3020000.0
Vietnam,VNM,2017,70820000.0,-13120000.0,20160000.0,10050000.0,48590000.0,36960000.0,41020000.0,94130000.0,13600000.0,6850000.0,3450000.0
Vietnam,VNM,2018,70670000.0,-13090000.0,20400000.0,9540000.0,56480000.0,58390000.0,42890000.0,121130000.0,13200000.0,7130000.0,4000000.0
Vietnam,VNM,2019,68500000.0,-12930000.0,20630000.0,8940000.0,64360000.0,72030000.0,44640000.0,154670000.0,13590000.0,7540000.0,4990000.0
Vietnam,VNM,2020,70270000.0,-12440000.0,20860000.0,8440000.0,68870000.0,92750000.0,37530000.0,151630000.0,13050000.0,7170000.0,1500000.0
